,UF_NOME,DEPENDENCIA_NOME,URB_NOME,LOCALIZACAO_NOME,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP
0,AC,Privada,Capital,Urbana,1.0,1.0,0.5375905,0.4392355
1,AC,Privada,Interior,Urbana,1.0,1.0,0.384232,0.4271585
2,AC,Publica,Capital,Rural,1.0,1.0,0.236354,-0.448699
3,AC,Publica,Capital,Urbana,1.0,1.0,-0.033591499999999996,-0.29796500000000004
4,AC,Publica,Interior,Rural,1.0,1.0,-0.5343565,-0.4245145
5,AC,Publica,Interior,Urbana,1.0,1.0,-0.197526,-0.171598
6,AL,Privada,Capital,Urbana,1.0,1.0,-0.0567675,0.21143800000000001
7,AL,Privada,Interior,Rural,1.0,1.0,0.585628,0.434211
8,AL,Privada,Interior,Urbana,1.0,1.0,0.427509,0.43633
9,AL,Publica,Capital,Rural,1.0,1.0,-0.28276650000000003,-0.897026
10,AL,Publica,Capital,Urbana,1.0,1.0,-0.36669949999999996,-0.4575805
11,AL,Publica,Interior,Rural,1.0,1.0,-0.4017275,-0.477915
12,AL,Publica,Interior,Urbana,1.0,1.0,-0.258022,-0.512089
13,AM,Privada,Capital,Urbana,1.0,1.0,0.544222,0.339195
14,AM,Privada,Interior,Rural,1.0,1.0,0.368401,0.335973
15,AM,Privada,Interior,Urbana,1.0,1.0,0.172658,0.2251545
16,AM,Publica,Capital,Rural,1.0,1.0,-0.25631349999999997,-0.3834385
17,AM,Publica,Capital,Urbana,1.0,1.0,-0.07982,-0.2131305
18,AM,Publica,Interior,Rural,1.0,1.0,-0.158367,-0.562287
19,AM,Publica,Interior,Urbana,1.0,1.0,-0.167213,-0.429052
20,AP,Privada,Capital,Urbana,1.0,1.0,0.258711,0.237845
21,AP,Privada,Interior,Urbana,1.0,1.0,0.5039985,0.28220900000000004
22,AP,Publica,Capital,Rural,1.0,1.0,-0.246174,-0.416472
23,AP,Publica,Capital,Urbana,1.0,1.0,-0.22232,-0.593576
24,AP,Publica,Interior,Rural,1.0,1.0,-0.6044160000000001,-0.796891
25,AP,Publica,Interior,Urbana,1.0,1.0,-0.035007,-0.330281
26,BA,Privada,Capital,Urbana,1.0,1.0,0.03917,-0.028362
27,BA,Privada,Interior,Rural,1.0,1.0,0.36123649999999996,0.21698
28,BA,Privada,Interior,Urbana,1.0,1.0,0.31873,0.3590585
29,BA,Publica,Capital,Rural,1.0,1.0,-0.35959450000000004,-0.331778
30,BA,Publica,Capital,Urbana,1.0,1.0,-0.024203500000000003,-0.1232635
31,BA,Publica,Interior,Rural,1.0,1.0,-0.564612,-0.724291
32,BA,Publica,Interior,Urbana,1.0,1.0,0.0536395,-0.164214
33,CE,Privada,Capital,Urbana,1.0,1.0,0.379394,0.211901
34,CE,Privada,Interior,Rural,1.0,1.0,0.876862,0.12657
35,CE,Privada,Interior,Urbana,1.0,1.0,0.41227800000000003,0.24899949999999998
36,CE,Publica,Capital,Urbana,1.0,1.0,0.530055,0.17014
37,CE,Publica,Interior,Rural,1.0,1.0,0.7050645,0.304027
38,CE,Publica,Interior,Urbana,1.0,1.0,0.8520595,0.495327
39,DF,Privada,Capital,Urbana,1.0,1.0,0.4104145,0.4178275
40,DF,Publica,Capital,Rural,1.0,1.0,0.082869,0.020142
41,DF,Publica,Capital,Urbana,1.0,1.0,-0.041085,-0.054406
42,ES,Privada,Capital,Urbana,1.0,1.0,0.7480935,0.7851365
43,ES,Privada,Interior,Urbana,1.0,1.0,0.7306215,0.59771
44,ES,Publica,Capital,Urbana,1.0,1.0,0.51533,0.162737
45,ES,Publica,Interior,Rural,1.0,1.0,0.4538765,0.13993699999999998
46,ES,Publica,Interior,Urbana,1.0,1.0,0.397989,0.150767
47,GO,Privada,Capital,Urbana,1.0,1.0,0.3438825,0.6934685
48,GO,Privada,Interior,Rural,1.0,1.0,0.7566335,0.346757
49,GO,Privada,Interior,Urbana,1.0,1.0,0.598662,0.425138
50,GO,Publica,Capital,Rural,1.0,1.0,0.572691,0.436686
51,GO,Publica,Capital,Urbana,1.0,1.0,0.196272,0.1551685
52,GO,Publica,Interior,Rural,1.0,1.0,1.035729,0.139825
53,GO,Publica,Interior,Urbana,1.0,1.0,0.0009315,-0.104554
54,MA,Privada,Capital,Rural,1.0,1.0,-0.313363,0.2009825
55,MA,Privada,Capital,Urbana,1.0,1.0,-0.033281,0.212701
56,MA,Privada,Interior,Rural,1.0,1.0,0.6880630000000001,0.2678315
57,MA,Privada,Interior,Urbana,1.0,1.0,0.320828,0.398823
58,MA,Publica,Capital,Rural,1.0,1.0,-0.870909,-0.613906
59,MA,Publica,Capital,Urbana,1.0,1.0,-0.451466,-0.477558
60,MA,Publica,Interior,Rural,1.0,1.0,0.113913,-0.077847
61,MA,Publica,Interior,Urbana,1.0,1.0,-0.219355,-0.307023
62,MG,Privada,Capital,Urbana,1.0,1.0,0.9247695,0.7840705
63,MG,Privada,Interior,Rural,1.0,1.0,0.627165,0.359143
64,MG,Privada,Interior,Urbana,1.0,1.0,0.5271785,0.677871
65,MG,Publica,Capital,Urbana,1.0,1.0,0.009634,0.037675
66,MG,Publica,Interior,Rural,1.0,1.0,-0.236061,-0.238399
67,MG,Publica,Interior,Urbana,1.0,1.0,0.275898,0.20778
68,MS,Privada,Capital,Urbana,1.0,1.0,0.608679,0.69627
69,MS,Privada,Interior,Rural,1.0,1.0,0.972157,0.067055
70,MS,Privada,Interior,Urbana,1.0,1.0,0.6195115,0.40904799999999997
71,MS,Publica,Capital,Rural,1.0,1.0,-0.1522385,-0.5301195000000001
72,MS,Publica,Capital,Urbana,1.0,1.0,-0.20411800000000002,-0.668722
73,MS,Publica,Interior,Rural,1.0,1.0,-0.066918,-0.398319
74,MS,Publica,Interior,Urbana,1.0,1.0,0.0763925,-0.1087065
75,MT,Privada,Capital,Urbana,1.0,1.0,0.398169,0.224032
76,MT,Privada,Interior,Rural,1.0,1.0,0.8153630000000001,0.30464
77,MT,Privada,Interior,Urbana,1.0,1.0,0.781586,0.56172
78,MT,Publica,Capital,Rural,1.0,1.0,-0.020421,-0.21728599999999998
79,MT,Publica,Capital,Urbana,1.0,1.0,-0.126507,-0.020664
80,MT,Publica,Interior,Rural,1.0,1.0,-0.1240335,-0.1510185
