,UF_NOME,DEPENDENCIA_NOME,LOCALIZACAO_NOME,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP
0,AC,Privada,Urbana,0.9975247524752475,1.0,-0.007218,-0.1744915
1,AC,Publica,Rural,0.9984544049459042,0.9969088098918083,-1.143556,-1.250707
2,AC,Publica,Urbana,0.9990177889337554,0.9983629815562589,-0.561933,-0.691751
3,AL,Privada,Rural,1.0,1.0,-0.4257685,-0.36517299999999997
4,AL,Privada,Urbana,0.9988757729061271,0.9994378864530635,-0.104672,-0.287618
5,AL,Publica,Rural,0.9993209157935584,0.9993209157935584,-0.7054195,-0.9485935
6,AL,Publica,Urbana,0.9992003350976734,0.9993145729408629,-0.704979,-0.896325
7,AM,Privada,Rural,1.0,1.0,0.222042,0.31824
8,AM,Privada,Urbana,0.9992082343626286,0.995249406175772,-0.027179,-0.10691
9,AM,Publica,Rural,0.997899453858003,0.9970592354012043,-1.379653,-1.632253
10,AM,Publica,Urbana,0.9989725675536834,0.998582143224083,-0.710706,-0.883304
11,AP,Privada,Urbana,0.9986789960369881,0.9947159841479525,-0.239667,-0.135795
12,AP,Publica,Rural,0.9943502824858758,0.995291902071563,-1.251096,-1.4805675
13,AP,Publica,Urbana,0.9989516720830276,0.9974840129992661,-1.013472,-1.156779
14,BA,Privada,Rural,1.0,1.0,-0.680097,-0.746456
15,BA,Privada,Urbana,0.9987980769230769,0.9987980769230769,-0.169474,-0.3602865
16,BA,Publica,Rural,0.9992374520003268,0.9991012827146709,-1.154491,-1.389724
17,BA,Publica,Urbana,0.9989116580056868,0.9984900480439258,-0.9585925,-1.125706
18,CE,Privada,Urbana,0.9991273996509599,1.0,-0.0598485,-0.2357495
19,CE,Publica,Rural,0.9996021879661859,0.9993535554450522,-0.25096,-0.3757795
20,CE,Publica,Urbana,0.9993107493767415,0.9989441267047954,-0.387982,-0.437038
21,DF,Privada,Urbana,1.0,0.9993079584775086,0.300802,0.104949
22,DF,Publica,Rural,0.9989023051591658,0.9983534577387486,-0.599322,-0.8082455
23,DF,Publica,Urbana,0.998580467229072,0.9982154445165476,-0.42430900000000005,-0.569026
24,ES,Privada,Urbana,1.0,0.9989356040447046,0.351085,0.083268
25,ES,Publica,Rural,0.9987389659520807,0.9987389659520807,-0.37118249999999997,-0.5643785
26,ES,Publica,Urbana,0.9987461617195497,0.9977737973387922,-0.44567900000000005,-0.5775525
27,GO,Privada,Rural,1.0,1.0,-0.590136,-0.598358
28,GO,Privada,Urbana,0.9993519118600129,0.9993519118600129,0.040328,-0.166957
29,GO,Publica,Rural,1.0,0.9974608548455354,-0.698613,-0.86342
30,GO,Publica,Urbana,0.9992952149594374,0.9989653155787485,-0.449624,-0.575425
31,MA,Privada,Rural,1.0,1.0,-0.881536,-0.501396
32,MA,Privada,Urbana,0.9967213114754099,1.0,-0.23992750000000002,-0.39198299999999997
33,MA,Publica,Rural,0.9985794823988992,0.9983131353486927,-1.194432,-1.367875
34,MA,Publica,Urbana,0.9991029419841458,0.9987367958552258,-0.976117,-1.1165
35,MG,Privada,Rural,1.0,1.0,-0.327057,-0.173925
36,MG,Privada,Urbana,0.9993288590604027,0.9986577181208054,0.5023664999999999,0.17798049999999999
37,MG,Publica,Rural,0.9987204094689699,0.9988118087926149,-0.618748,-0.832129
38,MG,Publica,Urbana,0.9988720729498735,0.9984113703519344,-0.4650785,-0.6374770000000001
39,MS,Privada,Rural,1.0,1.0,-0.181121,-0.421232
40,MS,Privada,Urbana,0.9994366197183099,0.9983098591549295,0.194731,-0.060764
41,MS,Publica,Rural,0.9975308641975309,0.9964726631393298,-1.195172,-1.394712
42,MS,Publica,Urbana,0.9986384808312433,0.9984235041203869,-0.7343109999999999,-0.8524835
43,MT,Privada,Urbana,1.0,0.9990601503759399,0.13281700000000002,-0.108179
44,MT,Publica,Rural,0.9990260530801072,0.9963476990504018,-0.827811,-0.994324
45,MT,Publica,Urbana,0.9987386413365253,0.998455479187582,-0.659558,-0.806251
46,PA,Privada,Rural,1.0,1.0,-0.31424,-0.248274
47,PA,Privada,Urbana,0.9993055555555556,1.0,-0.1604825,-0.24688949999999998
48,PA,Publica,Rural,0.9988537860878286,0.9980299448384555,-1.3764495,-1.6051605
49,PA,Publica,Urbana,0.9989695644524869,0.998290984945588,-0.9729570000000001,-1.10981
50,PB,Privada,Rural,1.0,1.0,-0.613732,-0.452904
51,PB,Privada,Urbana,1.0,1.0,-0.1445125,-0.29585700000000004
52,PB,Publica,Rural,0.9996706192358367,0.9988471673254282,-0.944831,-1.168822
53,PB,Publica,Urbana,0.9991899685707806,0.9989631597705991,-0.824845,-1.004348
54,PE,Privada,Rural,1.0,1.0,-0.705673,-0.707433
55,PE,Privada,Urbana,0.9992325402916347,1.0,-0.17551,-0.282336
56,PE,Publica,Rural,0.9994325597230892,0.9981841911138852,-0.883806,-1.11488
57,PE,Publica,Urbana,0.9993536511683457,0.9985667917211145,-0.848897,-1.012888
58,PI,Privada,Urbana,0.9996671105193076,0.9993342210386151,-0.0246835,-0.134849
59,PI,Publica,Rural,0.9995139732685298,0.9991494532199271,-0.9976700000000001,-1.1972304999999999
60,PI,Publica,Urbana,0.9994501394289306,0.9992144848984722,-0.704895,-0.822814
61,PR,Privada,Rural,1.0,1.0,0.0190855,0.021905
62,PR,Privada,Urbana,1.0,0.9989281886387996,0.304371,0.080418
63,PR,Publica,Rural,1.0,0.9995224450811844,-0.336733,-0.576048
64,PR,Publica,Urbana,0.9994505242914052,0.9993589450066395,-0.192538,-0.41778
65,RJ,Privada,Rural,1.0,1.0,-0.42432349999999996,-0.416043
66,RJ,Privada,Urbana,0.9985632183908046,0.9956896551724138,0.055607000000000004,-0.1686935
67,RJ,Publica,Rural,0.9989365473236441,0.9987002245066762,-0.714006,-0.839011
68,RJ,Publica,Urbana,0.9989107904897379,0.9984230847388742,-0.643515,-0.813174
69,RN,Privada,Rural,1.0,0.967741935483871,-0.778209,-0.637654
70,RN,Privada,Urbana,1.0,1.0,-0.14683000000000002,-0.285902
71,RN,Publica,Rural,0.9972518035039505,0.9965647543799382,-1.2658135000000001,-1.4357735
72,RN,Publica,Urbana,0.9986369467607441,0.9980756895445798,-1.010125,-1.1586189999999998
73,RO,Privada,Rural,1.0,0.9850746268656716,-0.381301,-0.59297
74,RO,Privada,Urbana,1.0,1.0,-0.1246855,-0.31865
75,RO,Publica,Rural,0.998697351280938,0.998697351280938,-0.909016,-1.156315
76,RO,Publica,Urbana,0.9989055754848909,0.9984191645892868,-0.741557,-0.881215
77,RR,Privada,Urbana,1.0,0.9974025974025974,-0.142252,-0.314972
78,RR,Publica,Rural,0.9956030150753769,0.9905778894472361,-1.4339235000000001,-1.6637515
79,RR,Publica,Urbana,0.9983880967141971,0.9982641041537508,-0.748087,-0.948768
80,RS,Privada,Rural,1.0,1.0,0.382719,0.184685
81,RS,Privada,Urbana,0.9965665236051502,0.9982832618025751,0.345859,-0.002856
82,RS,Publica,Rural,0.9990679094540612,0.9986684420772304,-0.443965,-0.6376820000000001
83,RS,Publica,Urbana,0.9984582075843065,0.9980973625508464,-0.4803615,-0.6331825
84,SC,Privada,Rural,1.0,1.0,0.417258,0.2627195
85,SC,Privada,Urbana,1.0,1.0,0.43374199999999996,0.199487
86,SC,Publica,Rural,0.9993769470404984,0.9993769470404984,-0.346398,-0.5527519999999999
87,SC,Publica,Urbana,0.9990105232192761,0.9988500675251046,-0.338833,-0.508829
88,SE,Privada,Rural,1.0,1.0,-0.6537265,-0.5139285
89,SE,Privada,Urbana,0.999353169469599,1.0,-0.193411,-0.331965
90,SE,Publica,Rural,0.9988910012674271,0.9974651457541192,-1.20003,-1.4148640000000001
91,SE,Publica,Urbana,0.9992524296037877,0.9987540493396462,-0.997746,-1.1835200000000001
92,SP,Privada,Rural,1.0,1.0,0.32741750000000003,-0.0184585
93,SP,Privada,Urbana,0.9991055456171736,0.9991055456171736,0.186062,-0.0335415
94,SP,Publica,Rural,0.9995417573605224,0.9986252720815672,-0.35041,-0.617159
95,SP,Publica,Urbana,0.9990010795933136,0.9986143241864494,-0.361113,-0.583023
96,TO,Privada,Rural,1.0,1.0,-0.398787,-1.091876
97,TO,Privada,Urbana,1.0,0.999227202472952,-0.014497,-0.2214305
98,TO,Publica,Rural,0.9982653946227233,0.997398091934085,-1.143196,-1.370733
99,TO,Publica,Urbana,0.9992407872452257,0.9987151784149974,-0.827835,-0.997415
