,UF_NOME,DEPENDENCIA_NOME,LOCALIZACAO_NOME,IN_AGUA_POTAVEL,IN_ENERGIA_INEXISTENTE,IN_BIBLIOTECA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_COMPUTADOR,IN_EQUIP_IMPRESSORA,IN_EQUIP_TV,QT_EQUIP_TV,IN_EQUIP_LOUSA_DIGITAL,QT_EQUIP_LOUSA_DIGITAL,IN_EQUIP_MULTIMIDIA,QT_EQUIP_MULTIMIDIA,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_MATERIAL_PED_MULTIMIDIA,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP,_merge
0,AC,Privada,Urbana,1.0,0.0,0.5454545454545454,0.38636363636363635,0.5227272727272727,1.0,0.8863636363636364,0.9090909090909091,2.0,0.22727272727272727,0.0,0.9318181818181818,3.5,0.75,5.0,0.4772727272727273,0.0,1.0,0.7045454545454546,0.6363636363636364,1.0,1.0,0.493685,0.43528500000000003,both
1,AC,Publica,Rural,0.5211665098777046,0.47695202257761055,0.020696142991533398,0.00658513640639699,0.016933207902163686,0.20319849482596425,0.2041392285983067,0.18062088428974601,0.0,0.012229539040451553,0.0,0.13640639698965193,0.0,0.09313264346190028,0.0,0.06491063029162747,0.0,0.26904985888993416,0.08560677328316087,0.05174035747883349,1.0,1.0,-0.40756,-0.430502,both
2,AC,Publica,Urbana,0.9394673123486683,0.002421307506053269,0.11864406779661017,0.11864406779661017,0.24939467312348668,0.9588377723970944,0.8401937046004843,0.7990314769975787,1.0,0.11138014527845036,0.0,0.8692493946731235,2.0,0.4188861985472155,0.0,0.37530266343825663,0.0,0.9322033898305084,0.28087167070217917,0.38256658595641646,1.0,1.0,-0.107523,-0.223453,both
3,AL,Privada,Rural,1.0,0.0,0.21428571428571427,0.07142857142857142,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.5,0.5,0.07142857142857142,0.0,0.2857142857142857,0.0,0.35714285714285715,0.0,0.35714285714285715,0.0,0.5714285714285714,0.21428571428571427,0.21428571428571427,1.0,1.0,0.585628,0.434211,both
4,AL,Privada,Urbana,0.9882583170254403,0.0,0.5968688845401174,0.17416829745596868,0.2700587084148728,0.9549902152641878,0.8160469667318982,0.9197651663405088,1.0,0.12915851272015655,0.0,0.7710371819960861,1.0,0.5538160469667319,1.0,0.547945205479452,1.0,0.9902152641878669,0.42857142857142855,0.50293542074364,1.0,1.0,0.292615,0.385627,both
5,AL,Publica,Rural,0.976962457337884,0.0,0.09641638225255973,0.04010238907849829,0.09044368600682594,0.6527303754266212,0.42662116040955633,0.6723549488054608,1.0,0.032423208191126277,0.0,0.4539249146757679,0.0,0.25597269624573377,0.0,0.32593856655290104,0.0,0.856655290102389,0.26791808873720135,0.15784982935153583,1.0,1.0,-0.3862985,-0.4939695,both
6,AL,Publica,Urbana,0.9891485809682805,0.0,0.327212020033389,0.16026711185308848,0.32220367278797996,0.9365609348914858,0.6068447412353923,0.820534223706177,1.0,0.10767946577629382,0.0,0.7520868113522537,1.0,0.4532554257095159,0.0,0.41151919866444076,0.0,0.9774624373956594,0.3823038397328882,0.3347245409015025,1.0,1.0,-0.318162,-0.496666,both
7,AM,Privada,Rural,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.368401,0.335973,both
8,AM,Privada,Urbana,0.961218836565097,0.0,0.6814404432132964,0.19667590027700832,0.3490304709141274,0.9473684210526315,0.8781163434903048,0.8725761772853186,2.0,0.0997229916897507,0.0,0.8393351800554016,1.0,0.6232686980609419,1.0,0.5069252077562327,1.0,0.9556786703601108,0.40166204986149584,0.5013850415512465,1.0,1.0,0.31602549999999996,0.2632345,both
9,AM,Publica,Rural,0.8872035300606729,0.2473800330943188,0.07335907335907337,0.006067291781577496,0.04384997242140099,0.23055708769994485,0.1969111969111969,0.1527854384997242,0.0,0.003861003861003861,0.0,0.13017098731384447,0.0,0.11114175399889685,0.0,0.0377826806398235,0.0,0.3601765030336459,0.09404302261445119,0.0383342526199669,1.0,1.0,-0.198002,-0.524711,both
