,NO_REGIAO,UF_NOME,DEPENDENCIA_NOME,LOCALIZACAO_NOME,IN_AGUA_POTAVEL,IN_ENERGIA_INEXISTENTE,IN_BIBLIOTECA,IN_LABORATORIO_CIENCIAS,IN_LABORATORIO_INFORMATICA,IN_COMPUTADOR,IN_EQUIP_IMPRESSORA,IN_EQUIP_TV,QT_EQUIP_TV,IN_EQUIP_LOUSA_DIGITAL,QT_EQUIP_LOUSA_DIGITAL,IN_EQUIP_MULTIMIDIA,QT_EQUIP_MULTIMIDIA,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_MATERIAL_PED_MULTIMIDIA
0,Centro-Oeste,DF,Estadual,Rural,1.0,0.0,0.1875,0.05,0.3125,0.95,0.9125,1.0,5.0,0.15,0.0,0.95,1.0,0.5,0.5,0.275,0.0,1.0,0.275,0.275
1,Centro-Oeste,DF,Estadual,Urbana,1.0,0.0,0.267741935483871,0.1596774193548387,0.5564516129032258,0.9919354838709677,0.967741935483871,0.9532258064516129,4.0,0.29838709677419356,0.0,0.9758064516129032,2.0,0.6564516129032258,8.0,0.36451612903225805,0.0,0.9887096774193549,0.4032258064516129,0.4241935483870968
2,Centro-Oeste,DF,Federal,Rural,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.5,0.5,1.0,44464.0,1.0,71.5,1.0,6.0,1.0,1.0,1.0
3,Centro-Oeste,DF,Federal,Urbana,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7777777777777778,4.0,0.5555555555555556,1.0,1.0,40.0,1.0,120.0,0.6666666666666666,10.0,1.0,1.0,0.8888888888888888
4,Centro-Oeste,DF,Privada,Rural,1.0,0.0,0.25,0.5,0.5,1.0,1.0,1.0,2.5,0.25,0.0,0.5,0.5,0.5,3.0,0.5,0.5,1.0,0.25,0.5
5,Centro-Oeste,DF,Privada,Urbana,1.0,0.0,0.4653130287648054,0.38917089678510997,0.39593908629441626,0.9712351945854484,0.8747884940778342,0.8663282571912013,2.0,0.1658206429780034,0.0,0.7478849407783418,1.0,0.5752961082910322,2.0,0.48223350253807107,0.0,0.9983079526226735,0.48392554991539766,0.4619289340101523
6,Centro-Oeste,GO,Estadual,Rural,1.0,0.0,0.6515151515151515,0.045454545454545456,0.5303030303030303,1.0,0.9696969696969697,1.0,5.0,0.30303030303030304,0.0,0.9242424242424242,3.0,0.8181818181818182,6.0,0.8787878787878788,12.5,1.0,0.8636363636363636,0.5151515151515151
7,Centro-Oeste,GO,Estadual,Urbana,1.0,0.0,0.9299221357063404,0.3804226918798665,0.6763070077864294,1.0,0.9532814238042269,0.9777530589543938,6.0,0.7018909899888766,1.0,0.9911012235817576,4.0,0.71412680756396,6.0,0.8576195773081201,36.0,1.0,0.8587319243604005,0.6307007786429366
8,Centro-Oeste,GO,Federal,Rural,1.0,0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,6.5,0.16666666666666666,0.0,1.0,25.0,1.0,194.0,0.5,1.0,1.0,1.0,1.0
9,Centro-Oeste,GO,Federal,Urbana,1.0,0.0,1.0,1.0,1.0,1.0,0.9523809523809523,0.9523809523809523,4.0,0.38095238095238093,0.0,0.9523809523809523,23.0,1.0,83.0,0.6666666666666666,5.0,1.0,1.0,0.9523809523809523
