ID_REGIAO;ID_UF;ID_AREA;IN_PUBLICA;ID_LOCALIZACAO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;PROFICIENCIA_MT;PROFICIENCIA_LP
4;41;2;0;2;1;1;1.033179;0.541973
4;41;2;0;2;1;1;0.583643;0.242276
4;41;2;0;2;1;1;1.005821;1.746931
4;41;2;0;2;1;1;1.146659;0.363576
4;41;2;0;2;1;1;2.021137;0.72271
4;41;2;0;2;1;1;1.005821;0.700841
4;41;2;0;2;0;0;;
4;41;2;0;2;0;0;;
4;41;2;0;2;1;1;0.107992;0.657417
4;41;2;0;2;1;1;1.568583;1.746931
4;41;2;0;2;0;0;;
4;41;2;0;2;1;1;1.005821;0.421491
4;41;2;0;2;1;1;1.167798;0.773978
4;41;2;0;2;1;1;0.47626;0.179761
4;41;1;0;1;1;1;0.673839;1.220768
4;41;1;0;1;1;1;1.783352;1.020549
4;41;1;0;1;1;1;1.366465;0.991849
4;41;1;0;1;1;1;0.291306;0.359525
4;41;1;0;1;1;1;0.636674;1.004203
4;41;1;0;1;0;1;1.400971;
4;41;1;0;1;0;1;-0.635767;
4;41;1;0;1;1;1;0.471107;0.76605
4;41;1;0;1;1;1;1.366465;0.475104
4;41;1;0;1;1;1;0.448457;1.220768
4;41;1;0;1;1;1;1.227058;0.744375
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;0;1;0;0;;
4;41;1;1;1;0;1;-0.270861;
4;41;1;1;1;1;1;-0.134691;0.441409
4;41;1;1;1;1;1;0.025929;-1.577533
4;41;1;1;1;1;1;0.412864;0.098009
4;41;1;1;1;1;1;-0.646391;0.414039
4;41;1;1;1;1;1;-1.445898;-0.722765
4;41;1;1;1;1;1;1.083555;0.315229
4;41;1;1;1;1;1;-0.137283;-0.401638
4;41;1;1;1;0;0;;
4;41;1;1;1;1;0;;-1.122291
4;41;1;1;1;1;1;-0.708961;0.150771
4;41;1;1;1;1;1;0.627726;-0.298715
4;41;1;1;1;0;0;;
4;41;1;1;1;1;1;-0.272074;-1.423411
4;41;1;1;1;1;1;0.233065;-0.629188
4;41;1;1;1;1;1;0.347361;-1.029591
4;41;1;1;1;1;1;-0.769654;0.010073
4;41;1;1;1;1;1;0.450787;0.388319
4;41;1;1;1;0;1;-0.215129;
4;41;1;1;1;1;1;-0.006292;0.86031
4;41;1;1;1;0;1;-1.44055;
4;41;1;1;1;1;1;0.51912;-0.479106
4;41;1;1;1;1;0;;0.444493
4;41;1;1;1;0;1;-0.138026;
4;41;1;1;1;1;1;0.421511;-0.489351
4;41;1;1;1;1;1;1.59942;0.50127
4;41;1;1;1;1;1;-0.537439;-0.005217
4;41;1;1;1;1;1;-0.798139;-0.215004
4;41;1;1;1;1;0;;-0.944159
4;41;1;1;1;1;1;0.880065;-0.304715
4;41;1;1;1;1;1;-0.659818;0.3178
4;41;1;1;1;1;1;0.748954;-0.503692
4;41;1;1;1;1;1;0.243458;0.450601
